PROV,Z S,POPULATION,MALADIE,Cas_0 à 11MOIS,Décès_0 à 11MOIS,Cas_12 à 59MOIS,Décès_12 à 59MOIS,Cas_5 à 15ANS,Décès_5 à 15ANS,Cas_Plus de 15ANS,Décès_Plus de 15ANS,TOTAL_CAS,TOTAL_DECES,LETALITE
KINSHASA,Bandalungwa,203322,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Barumbu,221089,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Binza-Meteo,583208,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Binza-Ozone,459227,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Biyela,306236,MONKEYPOX,0,0,0,0.0,0,0,1,0.0,1,0,0
KINSHASA,Bumbu,459507,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Gombe,129337,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Kalamu I,331196,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Kalamu Ii,279607,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Kasa-Vubu,196269,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Kikimi,380278,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Kimbanseke,348980,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Kingabwa,329102,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Kingasani,321548,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Kinshasa,266464,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Kintambo,112367,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Kisenso,521288,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Kokolo,474695,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Lemba,292691,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Limete,361912,MONKEYPOX,0,0,0,0.0,1,0,2,0.0,3,0,0
KINSHASA,Lingwala,124598,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Lufungula,184645,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Makala,438694,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
KINSHASA,Maluku I,118343,MONKEYPOX,0,0,0,0.0,0,0,0,0.0,0,0,0
Sud-Kivu,Bagira-Kasha,124346,MONKEYPOX,0,0,4,0.0,2,0,1,0.0,7,3,0
Sud-Kivu,Bunyakiri,124016,MONKEYPOX,1,0,0,0.0,0,0,1,0.0,2,3,0
Sud-Kivu,Fizi,105269,MONKEYPOX,0,0,0,0.0,0,0,4,0.0,4,5,0
Sud-Kivu,Ibanda,200689,MONKEYPOX,0,0,3,0.0,4,0,6,0.0,13,4,0
Sud-Kivu,Itombwe,61000,MONKEYPOX,0,0,0,0.0,2,0,0,0.0,2,1,0
